时间CST,气温C,露点C,湿度,海平面气压hPa,能见度Km,Wind Direction,风速Km/h,瞬间风速Km/h,降水量mm,活动,Conditions,FullMetar,WindDirDegrees,DateUTC
12:00 AM,-7.0,-10.0,80,1034,6.0,北,7.2,-,N/A,,不详,METAR ZBAA 171600Z 35002MPS 6000 NSC M07/M10 Q1034 NOSIG,350,2017-01-17 16:00:00
12:30 AM,-7.0,-10.0,80,1034,8.0,北,10.8,-,N/A,,不详,METAR ZBAA 171630Z 36003MPS 8000 NSC M07/M10 Q1034 NOSIG,360,2017-01-17 16:30:00
1:00 AM,-5.0,-12.0,59,1034,8.0,东北,7.2,-,N/A,,不详,METAR ZBAA 171700Z 04002MPS 010V080 8000 NSC M05/M12 Q1034 NOSIG,40,2017-01-17 17:00:00
1:30 AM,-4.0,-14.0,46,1034,-9999.0,北,7.2,-,N/A,,晴,METAR ZBAA 171730Z 36002MPS CAVOK M04/M14 Q1034 NOSIG,360,2017-01-17 17:30:00
2:00 AM,-5,-10,60,1035,2.8,东北偏东,3.6,,,,雾霭,AAXX 17181 54511 31/28 90701 11049 21095 30308 40350 52013 70500 333 10021,70,2017-01-17 18:00:00
2:00 AM,-5.0,-14.0,50,1035,-9999.0,不定,3.6,-,N/A,,晴,METAR ZBAA 171800Z VRB01MPS CAVOK M05/M14 Q1035 NOSIG,0,2017-01-17 18:00:00
2:30 AM,-7.0,-15.0,54,1035,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 171830Z 01003MPS CAVOK M07/M15 Q1035 NOSIG,10,2017-01-17 18:30:00
3:00 AM,-8.0,-14.0,63,1035,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 171900Z 36003MPS CAVOK M08/M14 Q1035 NOSIG,360,2017-01-17 19:00:00
3:30 AM,-5.0,-14.0,50,1035,-9999.0,北,7.2,-,N/A,,晴,METAR ZBAA 171930Z 01002MPS CAVOK M05/M14 Q1035 NOSIG,10,2017-01-17 19:30:00
4:00 AM,-7.0,-15.0,54,1035,-9999.0,北,7.2,-,N/A,,晴,METAR ZBAA 172000Z 01002MPS CAVOK M07/M15 Q1035 NOSIG,10,2017-01-17 20:00:00
4:30 AM,-7.0,-15.0,54,1034,-9999.0,东北偏北,7.2,-,N/A,,晴,METAR ZBAA 172030Z 02002MPS CAVOK M07/M15 Q1034 NOSIG,20,2017-01-17 20:30:00
5:00 AM,-4,-15,28,1034,16,东北,7.2,,,,,AAXX 17211 54511 32/66 90402 11043 21153 40345 57005,40,2017-01-17 21:00:00
5:00 AM,-7.0,-14.0,58,1034,-9999.0,北,10.8,-,N/A,,晴,METAR ZBAA 172100Z 01003MPS CAVOK M07/M14 Q1034 NOSIG,10,2017-01-17 21:00:00
